pH,turbidity_NTU,temperature_C,DO_mg_L,conductivity_uS_cm,TDS_mg_L
11.178,62.838,32.79,1.988,4638.4,3246.8799999999997
12.585,32.262,30.87,2.123,4263.79,2984.653
7.418,0.5,17.34,5.0,717.99,502.59299999999996
6.701,15.415,25.15,2.746,2009.22,1406.454
3.113,35.836,26.94,1.319,4017.01,2811.907
6.179,23.623,21.32,3.585,1988.72,1392.104
7.278,6.355,27.43,6.113,815.06,570.5419999999999
7.568,2.906,30.82,6.94,555.69,388.983
7.375,6.095,19.72,6.541,1002.7,701.89
7.461,6.0,29.14,2.453,500.0,350.0
7.802,8.73,33.13,2.036,2314.55,1620.185
8.598,11.495,26.91,4.387,613.64,429.54799999999994
7.252,23.29,26.37,3.64,2699.41,1889.5869999999998
11.536,36.926,26.36,1.826,3000.0,2100.0
8.092,21.109,24.89,4.196,1019.56,713.6919999999999
8.347,10.962,33.16,4.976,2328.72,1630.1039999999998
7.134,1.596,25.7,5.92,942.11,659.477
2.617,77.26,21.01,0.687,6168.16,4317.7119999999995
7.415,7.378,26.94,3.654,1000.0,700.0
8.724,7.307,36.17,6.0,1567.0,1096.8999999999999
8.174,3.0,31.86,4.457,1602.23,1121.561
6.657,0.893,24.94,6.643,1119.75,783.8249999999999
8.704,19.985,30.79,4.427,2815.43,1970.8009999999997
7.489,3.068,24.36,6.221,716.35,501.445
2.499,40.755,32.13,1.757,6013.24,4209.268
7.33,3.914,21.95,6.856,1368.87,958.2089999999998
8.5,2.721,26.1,5.134,1063.04,744.1279999999999
4.247,57.135,29.52,1.285,7048.34,4933.838
6.954,6.227,27.86,6.844,435.81,305.067
4.5,20.0,29.31,0.529,6987.51,4891.257
7.529,25.454,26.76,1.5,674.25,471.97499999999997
7.421,7.047,38.83,4.883,2394.67,1676.269
7.249,0.92,24.33,6.761,979.21,685.447
3.716,31.552,29.74,0.385,5282.68,3697.8759999999997
8.169,11.255,24.6,4.472,623.24,436.268
8.627,9.567,33.36,4.659,2961.6,2073.12
8.354,8.58,37.88,4.505,1376.94,963.858
3.839,57.11,34.91,1.615,4572.81,3200.967
7.395,11.066,29.71,4.8,1819.56,1273.6919999999998
3.195,50.453,22.26,2.184,6612.53,4628.771
7.59,1.837,28.38,6.007,673.26,471.282
7.517,0.807,30.08,5.578,761.05,532.7349999999999
7.553,1.674,27.86,6.739,309.88,216.916
8.0,10.439,34.38,4.739,2216.37,1551.4589999999998
2.302,43.692,29.93,1.568,5660.74,3962.5179999999996
7.66,0.947,22.0,6.424,1071.94,750.358
7.562,29.639,27.56,4.362,2968.28,2077.796
7.183,3.682,38.35,4.425,1000.0,700.0
8.119,11.558,25.92,4.93,2675.23,1872.6609999999998
10.828,53.835,25.26,1.254,4041.52,2829.064
7.243,3.798,28.95,7.694,560.98,392.686
7.0,9.136,31.29,2.0,2596.96,1817.8719999999998
8.017,6.613,30.64,4.22,1886.75,1320.725
7.202,0.5,29.58,6.652,1065.69,745.983
7.163,12.95,29.6,1.848,1799.58,1259.706
7.641,1.774,28.79,7.241,1156.19,809.333
8.018,24.67,24.26,2.048,1843.13,1290.191
6.455,37.73,33.61,2.2,676.32,473.424
8.059,14.831,22.68,2.738,1160.25,812.175
7.676,9.444,29.61,3.471,1942.05,1359.435
6.011,19.832,23.41,4.942,1461.44,1023.0079999999999
10.614,56.741,30.99,2.175,5702.78,3991.9459999999995
8.324,37.216,24.98,4.481,1690.54,1183.378
7.035,0.5,23.13,5.496,776.57,543.599
12.222,35.212,34.18,0.241,6238.34,4366.838
7.209,9.887,36.82,4.746,2200.07,1540.049
11.862,64.755,30.32,0.567,3000.0,2100.0
7.097,6.0,28.28,2.581,1276.23,893.361
7.107,17.854,33.7,4.164,799.61,559.727
8.784,27.193,30.1,2.032,1835.07,1284.549
3.315,51.617,32.21,1.9,4595.76,3217.032
3.679,84.061,28.57,1.286,4830.53,3381.3709999999996
7.758,15.911,29.09,3.498,2221.23,1554.8609999999999
10.816,33.508,31.71,0.988,4914.74,3440.3179999999998
8.949,7.621,22.06,4.911,601.8,421.25999999999993
12.098,25.557,30.6,2.355,5608.78,3926.1459999999997
8.467,41.555,30.76,2.652,1863.19,1304.233
7.319,3.907,29.84,6.451,1224.81,857.367
7.439,5.863,36.39,2.827,1000.0,700.0
8.409,10.667,26.38,4.297,2567.96,1797.572
7.61,4.364,29.43,6.146,1086.81,760.7669999999999
3.883,43.945,31.55,2.385,3000.0,2100.0
9.5,10.076,30.9,3.32,1362.73,953.911
8.958,16.56,24.06,3.618,500.0,350.0
7.632,6.103,32.82,4.665,1496.09,1047.263
8.15,15.056,32.84,4.101,919.75,643.8249999999999
7.671,10.347,34.02,4.144,2928.51,2049.957
8.076,20.406,29.37,4.625,2587.68,1811.3759999999997
8.019,9.756,28.46,3.147,1960.79,1372.5529999999999
7.0,7.75,27.27,4.641,1914.98,1340.4859999999999
7.039,1.896,23.8,6.171,636.06,445.24199999999996
3.117,38.363,37.09,1.787,6290.5,4403.349999999999
8.236,8.479,25.0,2.583,1000.0,700.0
7.465,6.376,36.51,5.407,2737.81,1916.4669999999999
8.185,3.0,31.41,5.048,2943.82,2060.674
3.916,47.6,34.28,1.19,4512.89,3159.023
8.103,22.097,31.94,3.281,1259.06,881.3419999999999
7.383,7.448,36.96,5.186,3087.57,2161.299
6.898,3.487,26.4,6.988,884.28,618.996
13.594,56.395,30.58,1.274,4757.53,3330.2709999999997
6.784,16.434,26.87,3.814,1232.49,862.7429999999999
2.0,69.264,35.01,0.951,4935.76,3455.032
6.734,2.632,21.49,6.111,337.03,235.92099999999996
6.218,25.801,23.21,2.521,2598.02,1818.6139999999998
2.403,37.449,33.6,1.906,7166.52,5016.564
8.05,7.151,26.27,7.736,1316.5,921.55
7.783,21.311,28.65,2.523,1706.39,1194.473
8.388,2.131,24.17,5.154,820.97,574.679
11.491,41.961,28.46,1.56,5570.1,3899.07
10.0,59.543,32.2,0.747,5356.81,3749.767
2.941,60.927,28.89,1.963,6412.43,4488.701
7.0,5.509,30.86,4.533,1803.72,1262.604
4.17,58.469,35.51,2.273,3251.84,2276.288
8.524,31.639,27.84,3.794,2767.37,1937.1589999999999
7.823,2.93,22.97,6.235,834.59,584.213
7.339,1.636,23.72,5.0,1060.44,742.308
8.085,10.247,32.21,2.945,1180.59,826.4129999999999
7.558,5.013,39.43,3.965,1974.42,1382.094
7.305,2.506,22.74,8.476,634.0,443.79999999999995
14.0,61.583,21.69,0.777,4695.25,3286.6749999999997
7.733,6.549,35.25,3.778,1000.0,700.0
7.43,2.802,20.31,5.137,1018.14,712.698
2.027,51.621,30.98,2.582,6856.06,4799.242
7.039,0.5,28.62,6.481,554.7,388.29
7.538,0.5,21.24,6.926,1153.55,807.4849999999999
10.0,26.501,26.95,0.681,6370.57,4459.398999999999
13.076,57.512,30.68,1.528,3578.7,2505.0899999999997
7.362,3.0,30.37,3.772,1744.01,1220.807
7.087,3.329,27.21,3.784,2651.5,1856.05
11.882,53.685,22.64,0.448,4438.07,3106.6489999999994
7.183,8.147,24.07,6.393,560.73,392.51099999999997
3.556,20.0,24.69,1.232,4882.11,3417.4769999999994
8.486,20.751,23.16,3.924,1285.32,899.7239999999999
8.51,24.956,37.52,2.113,1884.33,1319.031
7.231,4.404,31.96,3.061,1646.67,1152.6689999999999
7.682,6.0,31.43,3.528,1323.49,926.443
7.013,12.376,21.11,1.854,2104.88,1473.416
12.173,20.0,28.84,0.82,4811.27,3367.889
9.161,34.788,26.86,1.85,2541.1,1778.7699999999998
7.893,12.03,34.9,3.606,1464.85,1025.395
7.202,28.421,27.46,3.955,1209.68,846.776
7.474,25.716,23.16,2.957,1074.95,752.465
11.816,54.4,40.0,1.132,5027.35,3519.145
14.0,33.524,37.12,1.102,4948.14,3463.698
12.338,20.0,27.39,0.106,5372.82,3760.9739999999997
7.55,4.192,34.31,2.936,2166.04,1516.2279999999998
3.008,43.722,32.94,1.344,4240.87,2968.609
7.236,0.5,22.6,5.0,966.16,676.3119999999999
7.506,1.464,28.87,5.0,794.58,556.206
7.772,24.909,23.92,3.232,2284.75,1599.3249999999998
8.479,3.0,35.96,3.964,2292.3,1604.6100000000001
7.378,3.405,36.78,3.936,2051.8,1436.26
3.907,57.624,30.25,1.511,4117.97,2882.579
2.423,29.086,33.11,0.865,4139.44,2897.6079999999997
13.371,20.0,26.47,1.19,5017.06,3511.942
6.916,27.049,23.28,5.47,1914.14,1339.898
6.731,2.619,20.15,5.471,611.99,428.393
12.711,55.736,37.04,1.304,5773.58,4041.506
8.559,24.568,25.33,4.935,801.92,561.3439999999999
6.843,2.109,25.06,5.882,1298.68,909.076
7.572,5.841,23.69,5.311,754.41,528.087
7.854,8.056,33.95,4.451,2224.87,1557.4089999999999
8.341,13.173,39.33,4.264,1538.11,1076.677
7.585,6.148,28.95,6.962,739.4,517.5799999999999
8.337,5.158,38.74,3.274,2052.59,1436.813
3.014,41.765,22.52,1.9,3615.39,2530.7729999999997
7.507,5.227,36.69,2.0,1000.0,700.0
7.586,31.289,30.87,3.511,1093.0,765.0999999999999
7.617,21.207,26.91,3.031,1895.01,1326.5069999999998
7.77,6.0,28.64,3.721,1188.67,832.069
2.391,25.188,30.33,2.055,5573.05,3901.1349999999998
7.042,4.186,24.44,7.122,829.61,580.727
7.264,2.065,20.96,5.942,842.85,589.995
7.474,23.83,28.29,3.012,500.0,350.0
6.431,11.581,26.84,4.212,1697.12,1187.984
10.61,40.002,23.03,1.019,3000.0,2100.0
7.387,1.335,23.88,5.599,1405.5,983.8499999999999
7.454,0.761,26.76,6.922,1198.97,839.279
10.38,43.076,19.71,0.355,3913.46,2739.422
3.488,56.475,21.34,0.9,3000.0,2100.0
3.543,38.53,33.54,0.506,5937.23,4156.061
8.298,11.606,31.09,3.32,2243.28,1570.296
7.451,2.629,26.28,6.804,1073.96,751.7719999999999
7.221,12.453,35.88,2.446,1483.49,1038.443
7.433,5.094,28.89,7.922,1105.65,773.955
7.579,10.413,33.12,4.641,2331.19,1631.8329999999999
3.448,48.365,21.92,0.551,4608.49,3225.9429999999998
8.798,9.346,37.18,4.522,2904.12,2032.8839999999998
7.146,3.382,21.64,5.24,1043.83,730.6809999999999
3.081,50.728,26.57,1.919,5924.87,4147.409
7.348,4.294,21.98,5.519,765.0,535.5
7.601,13.486,32.83,4.463,1516.95,1061.865
7.547,9.017,30.0,4.413,950.21,665.1469999999999
7.966,3.0,29.63,3.128,2322.33,1625.6309999999999
6.112,26.801,30.56,3.376,1433.62,1003.5339999999999
6.95,0.714,25.57,7.002,1000.25,700.175
10.0,33.622,21.81,1.853,4546.48,3182.5359999999996
6.545,21.443,29.78,4.616,709.09,496.363
7.614,12.911,32.72,3.614,1400.4,980.28
8.582,5.252,36.43,5.663,2320.92,1624.644
7.584,18.132,30.72,2.22,1526.33,1068.4309999999998
7.33,4.543,28.56,6.179,1341.8,939.2599999999999
7.451,6.0,23.93,3.579,500.0,350.0
8.296,11.677,29.81,3.356,1494.53,1046.1709999999998
8.461,7.311,33.56,4.151,2326.63,1628.641
2.527,25.939,29.87,1.989,6505.05,4553.535
12.355,42.728,19.65,1.472,6666.02,4666.214
13.534,52.768,13.87,0.411,5335.29,3734.7029999999995
7.419,4.244,23.03,5.0,1170.68,819.476
7.395,3.0,36.27,5.315,2421.2,1694.8399999999997
8.155,19.185,26.23,1.838,1554.32,1088.024
8.969,5.668,35.59,3.598,1646.76,1152.732
7.638,6.493,34.4,5.195,1470.85,1029.5949999999998
11.732,62.143,23.08,0.849,3161.16,2212.812
12.748,26.553,25.64,3.0,4684.2,3278.9399999999996
7.241,11.046,31.51,4.288,2555.76,1789.0320000000002
7.801,12.644,32.34,5.251,1383.12,968.1839999999999
6.934,23.479,33.48,2.007,778.95,545.265
6.972,2.86,31.5,6.474,615.5,430.84999999999997
6.619,0.5,25.85,6.998,408.16,285.712
7.501,10.644,27.39,5.292,1873.64,1311.548
4.362,50.381,24.72,2.427,4907.34,3435.138
8.376,6.0,22.03,4.683,1655.12,1158.5839999999998
7.163,5.918,29.66,2.92,1359.18,951.4259999999999
7.936,6.132,26.97,4.032,1602.82,1121.974
7.404,0.5,23.71,6.228,747.06,522.9419999999999
7.523,8.791,30.68,3.843,1227.49,859.2429999999999
6.595,0.5,25.96,8.574,1500.0,1050.0
7.701,0.838,24.08,6.769,1095.34,766.7379999999999
8.932,19.807,24.67,2.499,2159.89,1511.9229999999998
3.304,20.0,21.89,1.107,6333.48,4433.436
8.24,24.932,29.27,4.31,1684.06,1178.8419999999999
7.437,2.257,25.8,6.739,1206.42,844.494
3.236,51.845,24.46,1.508,4993.61,3495.5269999999996
12.637,81.957,32.52,0.0,5618.11,3932.6769999999997
8.296,6.697,28.51,3.995,2038.4,1426.8799999999999
6.585,30.735,35.42,4.309,951.84,666.288
7.535,0.5,29.41,5.755,1022.93,716.0509999999999
7.562,6.278,24.6,7.36,551.46,386.022
13.108,29.06,29.51,2.468,6490.61,4543.427
7.905,15.392,29.13,3.475,1034.79,724.353
3.367,59.995,33.07,2.208,4885.58,3419.906
8.318,7.488,34.9,3.933,1609.03,1126.321
7.344,6.698,25.42,7.197,1044.81,731.367
8.118,6.0,32.56,2.177,1539.32,1077.524
12.308,56.62,32.02,0.952,4133.99,2893.7929999999997
3.731,64.504,19.01,2.525,5340.99,3738.6929999999998
12.834,67.469,31.43,0.759,5504.39,3853.073
10.702,53.316,24.06,1.99,5200.35,3640.245
3.005,62.834,31.93,2.995,8403.49,5882.442999999999
7.137,3.211,22.33,8.25,996.48,697.536
7.271,6.244,38.72,3.656,1252.05,876.435
7.071,18.429,23.65,3.404,734.51,514.1569999999999
2.611,51.73,35.9,1.647,3094.27,2165.989
7.913,6.007,20.31,6.514,1045.16,731.612
10.347,59.305,36.87,1.324,6163.51,4314.456999999999
6.631,18.522,24.64,4.135,1482.33,1037.6309999999999
7.691,10.656,24.34,2.852,2426.68,1698.6759999999997
11.638,50.376,28.62,1.271,5279.14,3695.398
11.977,32.043,37.73,1.976,6893.87,4825.709
6.827,1.657,26.21,9.0,1160.75,812.525
7.383,13.106,26.94,4.037,1729.85,1210.8949999999998
7.836,12.55,39.63,4.453,1671.16,1169.812
8.367,18.326,24.94,2.82,500.0,350.0
7.0,10.437,35.18,4.827,2295.79,1607.0529999999999
6.983,2.225,23.34,5.987,1024.46,717.122
7.947,9.464,28.66,3.604,1000.0,700.0
7.445,2.381,25.17,6.13,911.47,638.029
7.73,11.384,28.71,4.797,500.0,350.0
7.177,12.824,34.25,2.558,1422.18,995.526
8.74,19.257,26.1,5.613,1731.08,1211.7559999999999
7.926,4.848,26.46,7.626,884.94,619.458
7.825,3.707,37.62,3.409,2480.78,1736.546
7.424,0.5,24.45,7.821,735.52,514.8639999999999
6.71,25.445,34.02,3.592,513.13,359.191
6.59,6.0,30.54,4.067,2821.0,1974.6999999999998
8.074,7.714,27.13,4.374,2282.0,1597.3999999999999
2.986,47.13,31.82,1.079,4395.75,3077.0249999999996
8.399,6.016,27.96,1.862,1925.34,1347.7379999999998
7.335,5.098,22.18,7.762,1339.25,937.4749999999999
7.192,5.345,22.29,6.317,633.23,443.26099999999997
9.462,36.632,30.5,4.182,894.95,626.465
4.337,28.712,21.55,2.133,6666.13,4666.291
7.49,3.76,29.5,6.976,1167.07,816.949
12.366,31.159,25.39,1.694,6777.51,4744.257
2.613,60.639,27.82,0.694,5733.82,4013.6739999999995
8.495,7.914,27.4,3.101,1825.19,1277.633
7.92,1.849,25.9,5.0,1221.46,855.0219999999999
8.392,8.289,30.6,2.11,500.0,350.0
8.196,28.212,26.5,3.263,1986.37,1390.4589999999998
11.86,28.612,28.2,1.673,4761.28,3332.8959999999997
7.533,6.304,34.52,2.416,1288.64,902.048
7.496,16.898,25.85,3.34,500.0,350.0
7.146,0.779,27.98,5.0,336.02,235.21399999999997
8.895,17.08,29.25,4.896,1559.98,1091.9859999999999
8.403,4.394,36.17,3.56,2986.9,2090.83
3.003,45.655,26.59,1.819,5866.28,4106.396
7.051,2.809,16.38,8.081,954.43,668.1009999999999
8.671,35.705,26.85,2.655,2299.72,1609.8039999999999
2.403,35.492,28.28,2.111,3000.0,2100.0
12.102,42.829,33.31,1.292,3726.64,2608.6479999999997
7.274,7.505,20.49,7.33,1036.05,725.2349999999999
7.748,5.216,30.52,7.712,959.94,671.958
3.1,28.233,21.56,0.711,4425.83,3098.0809999999997
8.398,13.86,21.17,2.258,1417.3,992.1099999999999
7.103,4.216,30.32,5.689,732.77,512.939
12.212,20.0,29.34,1.04,5521.51,3865.057
8.166,10.393,29.75,3.86,2081.58,1457.1059999999998
8.1,7.213,34.38,2.42,1145.19,801.633
6.294,21.119,25.17,3.951,588.92,412.24399999999997
7.542,12.223,21.58,4.869,3869.18,2708.426
7.0,3.971,38.22,4.387,2600.9,1820.6299999999999
7.685,22.788,30.16,4.184,500.0,350.0
6.873,0.5,25.5,5.822,775.14,542.598
7.486,6.0,24.86,1.5,2020.02,1414.014
7.198,18.66,31.87,3.753,903.82,632.674
8.502,18.242,27.44,4.168,1238.89,867.2230000000001
7.57,9.056,30.22,3.847,2304.18,1612.9259999999997
13.261,74.329,35.18,2.649,5914.26,4139.982
7.558,20.667,31.15,5.159,660.14,462.09799999999996
7.398,6.602,26.31,6.434,1343.08,940.1559999999998
6.266,17.435,30.84,2.118,1074.79,752.353
8.108,14.255,24.17,2.336,2074.63,1452.241
7.487,9.717,29.52,3.848,3043.01,2130.107
3.678,52.837,23.69,0.562,3000.0,2100.0
7.552,5.39,28.68,5.665,990.33,693.231
8.12,18.129,27.3,2.563,1625.64,1137.948
7.453,19.856,31.87,4.736,2248.32,1573.824
7.516,5.211,25.72,6.344,923.24,646.2679999999999
7.932,9.964,36.64,3.246,1515.59,1060.9129999999998
8.335,12.232,28.36,3.636,1931.42,1351.994
7.899,3.628,33.52,5.567,2146.59,1502.613
12.146,20.0,29.83,1.521,7016.43,4911.501
7.15,13.735,27.69,3.01,691.77,484.239
8.226,3.985,28.59,6.424,1486.25,1040.375
7.509,31.206,25.44,2.956,1827.11,1278.9769999999999
10.361,26.477,21.26,2.843,6880.6,4816.42
7.319,1.722,24.89,5.953,1034.77,724.3389999999999
4.5,36.878,13.94,1.083,3000.0,2100.0
7.536,19.226,30.95,2.201,1883.7,1318.59
12.321,73.684,25.88,2.048,3803.77,2662.6389999999997
7.192,3.62,28.8,8.864,1212.52,848.7639999999999
6.977,6.393,25.45,6.723,1228.94,860.258
7.701,20.08,24.54,3.483,1635.51,1144.857
7.515,24.035,27.34,3.841,2434.8,1704.3600000000001
7.232,13.171,30.12,3.524,3459.0,2421.2999999999997
14.0,20.0,29.09,3.0,4113.28,2879.296
7.033,17.45,21.28,3.183,2448.85,1714.195
7.314,5.061,24.64,7.001,717.42,502.19399999999996
7.27,5.058,25.55,7.453,1282.46,897.722
7.749,9.802,26.82,2.65,1499.54,1049.6779999999999
7.292,4.521,23.55,7.508,1265.39,885.773
7.953,4.015,29.54,6.551,889.92,622.944
3.962,44.955,23.37,2.472,5930.75,4151.525
7.555,5.02,20.78,7.84,200.0,140.0
8.573,8.027,26.11,3.459,500.0,350.0
7.217,3.558,24.92,5.485,1078.51,754.957
8.051,1.885,22.99,5.894,1008.42,705.8939999999999
2.975,59.036,37.27,1.681,7805.21,5463.647
7.92,2.082,22.0,7.479,847.33,593.131
6.694,0.5,27.22,5.637,489.5,342.65
