pH,turbidity_NTU,temperature_C,DO_mg_L,conductivity_uS_cm,EC25_uS_cm,TDS_mg_L,reuse_label
6.968,2.512,28.94,6.533,758.66,703.2443455691509,492.2710418984056,irrigation
2.519,57.221,25.99,1.424,3227.01,3164.3557560305944,2215.049029221416,not_usable
7.369,5.131,26.2,7.426,1000.16,976.71875,683.703125,irrigation
7.433,6.998,34.6,3.879,2511.61,2107.0553691275168,1474.9387583892617,cooling
8.148,20.083,33.56,2.424,569.95,486.6376366120219,340.6463456284153,cooling
7.743,11.192,35.09,4.494,2751.35,2289.3576302213346,1602.550341154934,cooling
7.979,7.366,34.56,4.969,2920.08,2451.37676292814,1715.9637340496977,cooling
12.587,20.0,34.25,1.769,4054.65,3421.645569620253,2395.151898734177,not_usable
3.21,35.479,17.87,0.865,4170.61,4864.252390949381,3404.9766736645665,not_usable
7.62,19.396,23.68,4.568,500.0,513.5579293344289,359.4905505341002,cooling
2.475,70.625,31.57,0.725,5915.35,5228.345412762949,3659.841788934064,not_usable
8.808,17.641,29.7,3.82,1069.72,977.8062157221206,684.4643510054843,cooling
2.405,75.648,20.53,1.211,5805.77,6375.763233033165,4463.034263123215,not_usable
9.093,40.879,24.35,4.373,2332.41,2363.130699088146,1654.191489361702,not_usable
3.292,65.439,28.01,0.28,6128.72,5780.720618751179,4046.504433125825,not_usable
7.969,5.325,32.18,2.0,1150.27,1005.832458901714,704.0827212311997,not_usable
12.582,46.592,29.29,1.429,4895.22,4508.399336894457,3155.8795358261195,not_usable
3.321,40.041,29.7,1.124,3000.0,2742.230347349177,1919.561243144424,not_usable
6.932,4.401,27.23,7.438,1409.99,1349.7893930691173,944.852575148382,irrigation
11.56,54.695,33.49,0.606,4993.79,4268.926312190119,2988.2484185330827,not_usable
6.0,21.361,18.88,2.613,817.46,931.4721969006382,652.0305378304467,cooling
8.124,4.767,24.28,7.023,684.35,694.3486201298701,486.04403409090907,irrigation
10.146,62.532,22.21,0.476,4788.27,5071.245498834993,3549.8718491844947,not_usable
8.323,7.012,37.08,3.984,1000.0,805.4123711340206,563.7886597938144,cooling
7.169,2.273,28.57,6.305,917.41,856.2721672577936,599.3905170804555,irrigation
6.964,0.742,25.08,6.997,200.0,199.6805111821086,139.776357827476,potable_high_quality_reuse
7.106,3.765,21.41,5.361,722.29,778.1620340443869,544.7134238310708,irrigation
7.605,3.0,28.21,4.501,2648.43,2488.658146964856,1742.060702875399,cooling
3.042,56.41,30.02,1.363,6132.78,5573.227917121047,3901.259541984733,not_usable
6.896,23.703,30.08,2.662,1415.3,1284.7676107480029,899.337327523602,cooling
3.276,48.954,36.48,0.202,7708.5,6269.111906310995,4388.378334417696,not_usable
7.557,22.8,24.43,2.264,1611.78,1630.3661743880234,1141.2563220716163,cooling
3.741,53.425,24.88,0.949,5765.38,5779.250200481155,4045.475140336808,not_usable
7.625,1.6,27.3,6.652,792.11,757.2753346080306,530.0927342256214,irrigation
8.133,6.0,29.92,2.585,2325.4,2117.07938820102,1481.9555717407138,cooling
7.194,2.075,24.34,6.196,928.6,941.0214835832996,658.7150385083096,irrigation
8.875,3.0,37.31,4.184,2423.76,1944.9205584978336,1361.4443909484835,irrigation
2.188,52.457,31.94,1.287,6145.85,5396.777309448543,3777.74411661398,not_usable
6.961,3.393,26.47,6.397,1127.04,1094.85136972994,766.395958810958,irrigation
7.431,4.105,24.32,6.266,960.7,973.9456609894568,681.7619626926196,irrigation
7.587,4.087,25.97,7.035,1186.59,1164.0082401412594,814.8057680988816,irrigation
7.34,3.251,25.37,5.85,764.65,759.0331546555489,531.3232082588842,irrigation
6.315,28.657,27.07,3.521,2585.79,2482.994046475897,1738.095832533128,cooling
7.256,10.761,32.11,2.396,835.78,731.7282437401507,512.2097706181055,cooling
7.546,11.895,39.29,4.503,1431.1,1113.003577539275,779.1025042774925,cooling
2.132,45.282,23.91,1.048,6186.71,6324.585974238397,4427.210181966878,not_usable
7.258,7.901,29.34,3.992,1073.45,987.7162311372838,691.4013617960986,cooling
2.755,70.152,31.02,1.468,3000.0,2677.6151374509104,1874.330596215637,not_usable
7.758,13.531,31.67,3.344,1282.72,1131.745191459326,792.2216340215281,cooling
4.155,52.238,33.21,1.846,6360.25,5463.193609345472,3824.2355265418314,not_usable
7.18,0.5,27.52,6.332,807.46,768.7166793602438,538.1016755521706,irrigation
6.0,6.0,24.16,4.375,2112.92,2149.0235964198537,1504.3165174938974,cooling
7.275,2.012,26.05,7.169,1261.8,1235.847208619001,865.0930460333008,irrigation
7.976,11.472,25.26,4.315,1772.01,1762.843215280541,1233.9902506963786,cooling
6.709,5.183,25.24,6.028,1500.0,1492.8343949044588,1044.9840764331211,irrigation
2.867,43.337,29.13,0.404,4366.15,4033.0223535932014,2823.1156475152407,not_usable
7.434,14.057,27.82,4.607,1547.4,1464.7860658841348,1025.3502461188943,cooling
6.517,12.941,21.37,3.82,1653.97,1783.4483502264395,1248.4138451585077,cooling
6.692,5.377,24.49,7.218,877.82,886.8660335421298,620.8062234794908,irrigation
8.307,15.207,25.93,3.303,2257.46,2216.2379736893777,1551.3665815825643,cooling
13.651,23.498,29.2,1.607,5833.1,5381.088560885609,3766.761992619926,not_usable
10.083,57.299,34.22,2.135,4370.23,3689.826072272881,2582.878250591016,not_usable
7.78,1.063,24.19,5.0,445.66,452.9985769465339,317.0990038625737,irrigation
7.682,1.003,24.37,6.352,1049.96,1063.3583147660522,744.3508203362366,irrigation
7.391,8.346,35.07,3.885,1101.03,916.455801564841,641.5190610953887,cooling
8.023,11.203,36.01,4.193,2176.91,1784.0599901655469,1248.8419931158826,cooling
2.0,85.711,32.07,0.843,3101.54,2717.3120728929384,1902.1184510250569,not_usable
7.263,10.936,26.04,4.551,2248.04,2202.233542319749,1541.5634796238244,cooling
11.761,33.778,29.64,1.449,4417.24,4042.130307467057,2829.4912152269394,not_usable
7.122,6.761,28.56,4.603,1860.94,1737.247946228529,1216.07356235997,irrigation
6.944,5.106,26.62,7.621,690.97,669.2851607903914,468.499612553274,irrigation
7.4,8.819,28.22,3.921,561.73,527.7433295753476,369.4203307027433,cooling
7.924,44.66,26.4,2.103,500.0,486.3813229571985,340.4669260700389,cooling
6.646,13.542,28.09,3.255,500.0,470.8984742889433,329.6289320022602,cooling
13.176,39.037,26.43,1.115,4472.51,4348.1528290880815,3043.706980361657,not_usable
6.5,4.707,25.64,5.174,1114.38,1100.296208530806,770.2073459715641,irrigation
7.825,3.495,30.66,5.164,2197.3,1973.8591448077616,1381.701401365433,irrigation
7.386,2.482,27.54,6.507,583.03,554.8439284354778,388.3907499048344,irrigation
7.746,11.04,29.58,4.613,2299.57,2106.604983510444,1474.6234884573105,cooling
2.334,51.256,34.43,1.597,5860.34,4930.455998653878,3451.3191990577143,not_usable
7.648,2.706,21.42,7.953,1394.84,1502.4127531236536,1051.6889271865575,irrigation
3.249,45.891,27.69,1.818,7183.1,6816.378819510343,4771.4651736572405,not_usable
7.382,24.107,33.07,2.233,2045.32,1761.0814534182882,1232.7570173928016,cooling
3.155,48.11,26.05,0.961,5566.33,5451.841332027425,3816.288932419197,not_usable
6.846,10.737,22.4,4.269,1154.16,1217.4683544303798,852.2278481012659,cooling
7.419,3.0,32.44,4.665,1525.55,1327.950905292479,929.5656337047352,irrigation
7.278,8.23,29.57,3.632,3066.46,2809.6573208722743,1966.760124610592,cooling
12.076,52.684,26.44,2.232,6765.81,6576.409409020219,4603.486586314153,not_usable
13.06,59.803,33.51,0.0,5689.46,4861.955221329687,3403.368654930781,not_usable
11.927,24.455,37.45,2.854,3000.0,2401.921537229784,1681.3450760608484,not_usable
12.363,20.0,27.1,1.78,5696.48,5466.871401151631,3826.8099808061415,not_usable
7.934,4.493,25.97,6.182,539.04,528.7816362566215,370.147145379635,irrigation
7.528,3.468,24.58,5.279,654.47,660.0141185962083,462.00988301734577,irrigation
7.289,3.512,26.74,7.225,558.69,539.9014302280635,377.9310011596445,irrigation
7.83,25.053,25.25,3.405,2075.83,2065.5024875621893,1445.8517412935323,cooling
7.76,15.87,31.02,3.78,1652.14,1474.5983577293823,1032.2188504105677,cooling
6.886,2.357,30.7,5.0,829.03,744.1921005385997,520.9344703770197,irrigation
7.567,8.119,34.65,3.904,1740.03,1458.5331098072086,1020.973176865046,cooling
7.007,12.303,21.66,3.953,1520.17,1628.986283754822,1140.2903986283754,cooling
13.526,49.187,28.74,2.278,5973.72,5557.982880535914,3890.588016375139,not_usable
8.149,3.448,22.54,7.614,760.26,799.6003365586874,559.7202355910812,irrigation
7.667,1.965,23.35,5.319,1371.91,1418.728024819028,993.1096173733196,irrigation
3.014,28.813,31.87,2.459,4613.41,4056.1016353085984,2839.2711447160186,not_usable
8.328,27.012,33.39,4.09,2450.45,2098.347319746532,1468.843123822572,cooling
7.38,6.746,31.96,3.199,1978.6,1736.8328651685392,1215.783005617977,cooling
8.007,7.893,38.91,4.049,3500.0,2738.225629791895,1916.7579408543263,cooling
7.2,0.5,23.82,7.902,841.59,861.9315854158132,603.3521097910692,irrigation
7.047,3.501,31.19,3.914,2352.68,2093.504182238832,1465.4529275671823,cooling
6.984,0.552,21.68,7.313,754.93,808.6225364181662,566.0357754927163,irrigation
7.436,3.057,22.48,6.172,738.35,777.5379106992418,544.2765374894692,irrigation
7.041,3.435,21.84,5.147,863.19,921.4239965841164,644.9967976088814,irrigation
6.511,25.754,30.98,4.322,500.0,446.58806716684535,312.6116470167917,cooling
7.176,4.714,31.86,4.582,1281.76,1127.119240239184,788.9834681674287,irrigation
7.756,11.66,30.92,2.0,2426.01,2169.1791845493563,1518.425429184549,not_usable
3.516,57.361,28.01,1.43,5679.83,5357.319373703074,3750.123561592152,not_usable
7.941,12.678,38.09,3.339,1621.04,1284.704390553178,899.2930733872245,cooling
7.487,7.279,33.19,5.043,1000.0,859.2541673827119,601.4779171678983,irrigation
3.211,26.209,29.23,1.245,4509.39,4157.652590816892,2910.356813571824,not_usable
7.754,6.101,21.33,5.992,1359.71,1467.418519317937,1027.1929635225556,irrigation
6.85,4.138,19.75,6.525,537.16,600.1787709497206,420.1251396648044,irrigation
7.925,13.678,26.71,4.671,600.88,581.009475923419,406.7066331463933,cooling
7.255,2.607,23.39,5.84,1266.92,1309.0721223393264,916.3504856375284,irrigation
3.467,55.687,26.59,0.462,6400.13,6202.878464818763,4342.014925373133,not_usable
7.435,0.793,19.59,6.166,1420.48,1592.8235030275846,1114.9764521193092,irrigation
8.473,3.0,25.0,5.728,1224.33,1224.33,857.031,irrigation
8.665,10.569,33.76,4.754,2425.17,2063.6232130701155,1444.5362491490807,cooling
8.095,23.2,26.3,2.395,500.0,487.3294346978557,341.130604288499,cooling
11.178,62.838,32.79,1.988,4638.4,4013.151064197958,2809.2057449385707,not_usable
12.585,32.262,30.87,2.123,4263.79,3815.81349561482,2671.069446930374,not_usable
7.418,0.5,17.34,5.0,717.99,847.8861596598961,593.5203117619272,irrigation
6.701,15.415,25.15,2.746,2009.22,2003.2103688933205,1402.247258225324,cooling
3.113,35.836,26.94,1.319,4017.01,3866.971505583366,2706.880053908356,not_usable
6.179,23.623,21.32,3.585,1988.72,2146.718480138169,1502.7029360967183,cooling
7.278,6.355,27.43,6.113,815.06,777.283997711234,544.0987983978637,irrigation
7.568,2.906,30.82,6.94,555.69,497.75170189896096,348.4261913292726,irrigation
7.375,6.095,19.72,6.541,1002.7,1121.0867620751342,784.7607334525939,irrigation
7.461,6.0,29.14,2.453,500.0,461.76579239009976,323.2360546730698,cooling
7.802,8.73,33.13,2.036,2314.55,1990.8394976776192,1393.5876483743334,cooling
8.598,11.495,26.91,4.387,613.64,591.0614525139665,413.7430167597765,cooling
7.252,23.29,26.37,3.64,2699.41,2627.418726883395,1839.193108818376,cooling
11.536,36.926,26.36,1.826,3000.0,2920.560747663552,2044.392523364486,not_usable
8.092,21.109,24.89,4.196,1019.56,1021.8079775506112,715.2655842854278,cooling
8.347,10.962,33.16,4.976,2328.72,2001.994497936726,1401.396148555708,cooling
7.134,1.596,25.7,5.92,942.11,929.102564102564,650.3717948717948,irrigation
2.617,77.26,21.01,0.687,6168.16,6703.064551184525,4692.145185829168,not_usable
7.415,7.378,26.94,3.654,1000.0,962.6492106276472,673.8544474393531,cooling
8.724,7.307,36.17,6.0,1567.0,1280.8566290665358,896.599640346575,irrigation
8.174,3.0,31.86,4.457,1602.23,1408.9254308828702,986.247801618009,irrigation
6.657,0.893,24.94,6.643,1119.75,1121.0953143772526,784.7667200640768,irrigation
8.704,19.985,30.79,4.427,2815.43,2523.238931708192,1766.267252195734,cooling
7.489,3.068,24.36,6.221,716.35,725.6381685575365,507.9467179902755,irrigation
2.499,40.755,32.13,1.757,6013.24,5262.769123052686,3683.93838613688,not_usable
7.33,3.914,21.95,6.856,1368.87,1457.7955271565495,1020.4568690095846,irrigation
8.5,2.721,26.1,5.134,1063.04,1040.156555772994,728.1095890410959,irrigation
4.247,57.135,29.52,1.285,7048.34,6463.994864269993,4524.796404988994,not_usable
6.954,6.227,27.86,6.844,435.81,412.23041997729854,288.56129398410894,irrigation
4.5,20.0,29.31,0.529,6987.51,6432.986558644817,4503.090591051371,not_usable
7.529,25.454,26.76,1.5,674.25,651.3234157650695,455.9263910355487,not_usable
7.421,7.047,38.83,4.883,2394.67,1875.818580604732,1313.073006423312,irrigation
7.249,0.92,24.33,6.761,979.21,992.5096290289886,694.756740320292,irrigation
3.716,31.552,29.74,0.385,5282.68,4825.2466203872855,3377.6726342710995,not_usable
8.169,11.255,24.6,4.472,623.24,628.266129032258,439.7862903225806,cooling
8.627,9.567,33.36,4.659,2961.6,2537.354352296093,1776.148046607265,cooling
8.354,8.58,37.88,4.505,1376.94,1094.895038167939,766.4265267175573,irrigation
3.839,57.11,34.91,1.615,4572.81,3816.3995993990993,2671.479719579369,not_usable
7.395,11.066,29.71,4.8,1819.56,1662.9135441418389,1164.039480899287,cooling
3.195,50.453,22.26,2.184,6612.53,6995.905628438425,4897.1339399068975,not_usable
7.59,1.837,28.38,6.007,673.26,630.6294492319221,441.4406144623454,potable_high_quality_reuse
7.517,0.807,30.08,5.578,761.05,690.8587509077705,483.6011256354393,irrigation
7.553,1.674,27.86,6.739,309.88,293.1138857359062,205.17972001513436,potable_high_quality_reuse
8.0,10.439,34.38,4.739,2216.37,1866.2596833950824,1306.3817783765576,cooling
2.302,43.692,29.93,1.568,5660.74,5152.685235754597,3606.8796650282175,not_usable
7.66,0.947,22.0,6.424,1071.94,1140.3617021276598,798.2531914893618,irrigation
7.562,29.639,27.56,4.362,2968.28,2823.706240487063,1976.594368340944,cooling
7.183,3.682,38.35,4.425,1000.0,789.2659826361485,552.4861878453039,irrigation
8.119,11.558,25.92,4.93,2675.23,2626.8951296150826,1838.8265907305577,cooling
10.828,53.835,25.26,1.254,4041.52,4020.612813370473,2814.428969359331,not_usable
7.243,3.798,28.95,7.694,560.98,519.9073215940687,363.93512511584805,irrigation
7.0,9.136,31.29,2.0,2596.96,2306.7685201634395,1614.7379641144075,not_usable
8.017,6.613,30.64,4.22,1886.75,1695.497843278217,1186.848490294752,irrigation
7.202,0.5,29.58,6.652,1065.69,976.264199340418,683.3849395382925,irrigation
7.163,12.95,29.6,1.848,1799.58,1647.9670329670328,1153.5769230769229,not_usable
7.641,1.774,28.79,7.241,1156.19,1074.7257854619818,752.3080498233873,irrigation
8.018,24.67,24.26,2.048,1843.13,1870.818107998376,1309.572675598863,cooling
6.455,37.73,33.61,2.2,676.32,576.966387988398,403.87647159187856,cooling
8.059,14.831,22.68,2.738,1160.25,1216.7051174496644,851.693582214765,cooling
7.676,9.444,29.61,3.471,1942.05,1778.1084050540192,1244.6758835378134,cooling
6.011,19.832,23.41,4.942,1461.44,1509.4401983061352,1056.6081388142943,cooling
10.614,56.741,30.99,2.175,5702.78,5092.677263797107,3564.874084657975,not_usable
8.324,37.216,24.98,4.481,1690.54,1691.2164865946377,1183.8515406162462,cooling
7.035,0.5,23.13,5.496,776.57,806.7421566590484,564.7195096613339,irrigation
12.222,35.212,34.18,0.241,6238.34,5270.648867860764,3689.4542075025342,not_usable
7.209,9.887,36.82,4.746,2200.07,1779.4160465868654,1245.5912326108055,irrigation
11.862,64.755,30.32,0.567,3000.0,2711.4967462039044,1898.0477223427329,not_usable
7.097,6.0,28.28,2.581,1276.23,1197.6632882882882,838.3643018018017,cooling
7.107,17.854,33.7,4.164,799.61,681.098807495741,476.7691652470186,cooling
8.784,27.193,30.1,2.032,1835.07,1665.21778584392,1165.652450090744,cooling
3.315,51.617,32.21,1.9,4595.76,4016.570529627688,2811.599370739381,not_usable
3.679,84.061,28.57,1.286,4830.53,4508.614896397237,3156.030427478066,not_usable
7.758,15.911,29.09,3.498,2221.23,2053.272323904603,1437.290626733222,cooling
10.816,33.508,31.71,0.988,4914.74,4333.221654029271,3033.25515782049,not_usable
8.949,7.621,22.06,4.911,601.8,639.3965150871228,447.57756056098594,irrigation
12.098,25.557,30.6,2.355,5608.78,5043.866906474819,3530.7068345323733,not_usable
8.467,41.555,30.76,2.652,1863.19,1670.7227403156385,1169.5059182209468,cooling
7.319,3.907,29.84,6.451,1224.81,1116.7122538293215,781.698577680525,irrigation
7.439,5.863,36.39,2.827,1000.0,814.4648965629582,570.1254275940707,cooling
8.409,10.667,26.38,4.297,2567.96,2498.9879330478784,1749.2915531335148,cooling
7.61,4.364,29.43,6.146,1086.81,998.3556862024618,698.8489803417232,irrigation
3.883,43.945,31.55,2.385,3000.0,2652.5198938992044,1856.763925729443,not_usable
9.5,10.076,30.9,3.32,1362.73,1218.8998211091236,853.2298747763865,not_usable
8.958,16.56,24.06,3.618,500.0,509.5801059926621,356.70607419486345,cooling
7.632,6.103,32.82,4.665,1496.09,1293.747838118298,905.6234866828086,irrigation
8.15,15.056,32.84,4.101,919.75,795.0812586445367,556.5568810511757,cooling
7.671,10.347,34.02,4.144,2928.51,2480.9471365638765,1736.6629955947135,cooling
8.076,20.406,29.37,4.625,2587.68,2379.694684568696,1665.7862791980872,cooling
8.019,9.756,28.46,3.147,1960.79,1833.8851477740368,1283.7196034418257,cooling
7.0,7.75,27.27,4.641,1914.98,1831.815572986417,1282.270901090492,irrigation
7.039,1.896,23.8,6.171,636.06,651.7008196721312,456.19057377049177,potable_high_quality_reuse
3.117,38.363,37.09,1.787,6290.5,5065.630536318247,3545.941375422773,not_usable
8.236,8.479,25.0,2.583,1000.0,1000.0,700.0,cooling
7.465,6.376,36.51,5.407,2737.81,2225.4999187124045,1557.849943098683,cooling
8.185,3.0,31.41,5.048,2943.82,2609.306860485729,1826.5148023400104,cooling
3.916,47.6,34.28,1.19,4512.89,3806.418690958165,2664.493083670716,not_usable
8.103,22.097,31.94,3.281,1259.06,1105.602388479101,773.9216719353705,cooling
7.383,7.448,36.96,5.186,3087.57,2491.583279535184,1744.1082956746286,cooling
6.898,3.487,26.4,6.988,884.28,860.1945525291828,602.1361867704279,irrigation
13.594,56.395,30.58,1.274,4757.53,4279.893846707449,2995.925692695214,not_usable
6.784,16.434,26.87,3.814,1232.49,1188.0566801619432,831.6396761133602,cooling
2.0,69.264,35.01,0.951,4935.76,4112.447925345776,2878.713547742043,not_usable
6.734,2.632,21.49,6.111,337.03,362.47580124758014,253.73306087330607,irrigation
6.218,25.801,23.21,2.521,2598.02,2694.482472516075,1886.1377307612524,cooling
2.403,37.449,33.6,1.906,7166.52,6114.778156996586,4280.34470989761,not_usable
8.05,7.151,26.27,7.736,1316.5,1283.8892139652817,898.7224497756971,irrigation
7.783,21.311,28.65,2.523,1706.39,1590.2982292637466,1113.2087604846226,cooling
8.388,2.131,24.17,5.154,820.97,834.8281472442546,584.3797030709782,irrigation
11.491,41.961,28.46,1.56,5570.1,5209.59595959596,3646.717171717172,not_usable
10.0,59.543,32.2,0.747,5356.81,4682.526223776224,3277.768356643356,not_usable
2.941,60.927,28.89,1.963,6412.43,5949.5546483577655,4164.688253850436,not_usable
7.0,5.509,30.86,4.533,1803.72,1614.500537056928,1130.1503759398497,irrigation
4.17,58.469,35.51,2.273,3251.84,2687.0269376962488,1880.918856387374,not_usable
8.524,31.639,27.84,3.794,2767.37,2618.631718395155,1833.0422028766084,cooling
7.823,2.93,22.97,6.235,834.59,869.908276005837,608.9357932040858,irrigation
7.339,1.636,23.72,5.0,1060.44,1088.3004926108376,761.8103448275863,irrigation
8.085,10.247,32.21,2.945,1180.59,1031.8038804404823,722.2627163083375,cooling
7.558,5.013,39.43,3.965,1974.42,1532.2210150550986,1072.554710538569,cooling
7.305,2.506,22.74,8.476,634.0,664.0134059488898,464.8093841642229,irrigation
14.0,61.583,21.69,0.777,4695.25,5028.110944527736,3519.677661169415,not_usable
7.733,6.549,35.25,3.778,1000.0,829.8755186721992,580.9128630705394,cooling
7.43,2.802,20.31,5.137,1018.14,1123.5268152725666,786.4687706907966,irrigation
2.027,51.621,30.98,2.582,6856.06,6123.669167559843,4286.56841729189,not_usable
7.039,0.5,28.62,6.481,554.7,517.2510257366655,362.0757180156658,potable_high_quality_reuse
7.538,0.5,21.24,6.926,1153.55,1247.3507785467127,873.1455449826989,irrigation
10.0,26.501,26.95,0.681,6370.57,6131.443695861405,4292.010587102984,not_usable
13.076,57.512,30.68,1.528,3578.7,3213.6314655172414,2249.542025862069,not_usable
7.362,3.0,30.37,3.772,1744.01,1574.8690626693156,1102.408343868521,cooling
7.087,3.329,27.21,3.784,2651.5,2539.2645087148057,1777.4851561003638,cooling
11.882,53.685,22.64,0.448,4438.07,4657.924013434089,3260.546809403862,not_usable
7.183,8.147,24.07,6.393,560.73,571.3572447523945,399.95007132667615,irrigation
3.556,20.0,24.69,1.232,4882.11,4912.567921110887,3438.7975447776207,not_usable
8.486,20.751,23.16,3.924,1285.32,1334.426910299003,934.098837209302,cooling
8.51,24.956,37.52,2.113,1884.33,1506.9817658349327,1054.8872360844528,cooling
7.231,4.404,31.96,3.061,1646.67,1445.46172752809,1011.8232092696628,cooling
7.682,6.0,31.43,3.528,1323.49,1172.682970051391,820.8780790359737,cooling
7.013,12.376,21.11,1.854,2104.88,2282.4549989156367,1597.7184992409457,not_usable
12.173,20.0,28.84,0.82,4811.27,4468.118499257059,3127.682949479941,not_usable
9.161,34.788,26.86,1.85,2541.1,2449.9614346317007,1714.9730042421904,not_usable
7.893,12.03,34.9,3.606,1464.85,1222.746243739566,855.9223706176961,cooling
7.202,28.421,27.46,3.955,1209.68,1152.9546321006485,807.0682424704537,cooling
7.474,25.716,23.16,2.957,1074.95,1116.019518272425,781.2136627906976,cooling
11.816,54.4,40.0,1.132,5027.35,3867.192307692308,2707.034615384616,not_usable
14.0,33.524,37.12,1.102,4948.14,3982.7269800386352,2787.9088860270444,not_usable
12.338,20.0,27.39,0.106,5372.82,5127.715212826874,3589.400648978812,not_usable
7.55,4.192,34.31,2.936,2166.04,1826.032709492497,1278.2228966447478,cooling
3.008,43.722,32.94,1.344,4240.87,3659.7083189506384,2561.795823265447,not_usable
7.236,0.5,22.6,5.0,966.16,1014.8739495798318,710.4117647058822,irrigation
7.506,1.464,28.87,5.0,794.58,737.4976795990348,516.2483757193243,irrigation
7.772,24.909,23.92,3.232,2284.75,2335.190106295993,1634.6330744071952,cooling
8.479,3.0,35.96,3.964,2292.3,1880.1673228346456,1316.117125984252,cooling
7.378,3.405,36.78,3.936,2051.8,1660.5697636775656,1162.3988345742955,cooling
3.907,57.624,30.25,1.511,4117.97,3726.669683257919,2608.668778280543,not_usable
2.423,29.086,33.11,0.865,4139.44,3561.727757700912,2493.2094303906383,not_usable
13.371,20.0,26.47,1.19,5017.06,4873.771128812902,3411.639790169031,not_usable
6.916,27.049,23.28,5.47,1914.14,1982.3322286661144,1387.63256006628,cooling
6.731,2.619,20.15,5.471,611.99,677.7297895902547,474.4108527131782,irrigation
12.711,55.736,37.04,1.304,5773.58,4653.110896196003,3257.1776273372016,not_usable
8.559,24.568,25.33,4.935,801.92,796.6620305980529,557.663421418637,cooling
6.843,2.109,25.06,5.882,1298.68,1297.123451857771,907.9864163004396,irrigation
7.572,5.841,23.69,5.311,754.41,774.7073321010474,542.2951324707332,irrigation
7.854,8.056,33.95,4.451,2224.87,1887.0822731128076,1320.957591178965,irrigation
8.341,13.173,39.33,4.264,1538.11,1195.4842219804134,836.8389553862893,cooling
7.585,6.148,28.95,6.962,739.4,685.2641334569046,479.68489341983314,irrigation
8.337,5.158,38.74,3.274,2052.59,1610.1270787574524,1127.0889551302166,cooling
3.014,41.765,22.52,1.9,3615.39,3804.0719696969695,2662.8503787878785,not_usable
7.507,5.227,36.69,2.0,1000.0,810.5041335710812,567.3528934997568,not_usable
7.586,31.289,30.87,3.511,1093.0,978.163594057634,684.7145158403437,cooling
7.617,21.207,26.91,3.031,1895.01,1825.2841456366789,1277.698901945675,cooling
7.77,6.0,28.64,3.721,1188.67,1108.0070842654736,775.6049589858314,cooling
2.391,25.188,30.33,2.055,5573.05,5036.19193927345,3525.3343574914147,not_usable
7.042,4.186,24.44,7.122,829.61,839.0068770226537,587.3048139158576,irrigation
7.264,2.065,20.96,5.942,842.85,916.9386422976502,641.857049608355,irrigation
7.474,23.83,28.29,3.012,500.0,469.1311690748733,328.3918183524113,cooling
6.431,11.581,26.84,4.212,1697.12,1636.882716049383,1145.817901234568,cooling
